day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
30,11,2020,Europe,Albania,835,11,106,3025728,47.0
29,11,2020,Europe,Albania,545,16,106,3025728,47.0
28,11,2020,Europe,Albania,645,18,106,3025728,47.0
27,11,2020,Europe,Albania,656,10,106,3025728,47.0
26,11,2020,Europe,Albania,644,8,106,3025728,47.0
25,11,2020,Europe,Albania,744,19,106,3025728,47.0
24,11,2020,Europe,Albania,795,17,106,3025728,47.0
23,11,2020,Europe,Albania,565,14,106,3025728,47.0
22,11,2020,Europe,Albania,737,13,106,3025728,47.0
21,11,2020,Europe,Albania,836,15,106,3025728,47.0
20,11,2020,Europe,Albania,786,11,106,3025728,47.0
19,11,2020,Europe,Albania,711,9,106,3025728,47.0
18,11,2020,Europe,Albania,694,6,106,3025728,47.0
17,11,2020,Europe,Albania,602,8,106,3025728,47.0
16,11,2020,Europe,Albania,597,11,106,3025728,47.0
15,11,2020,Europe,Albania,532,7,106,3025728,47.0
14,11,2020,Europe,Albania,490,7,106,3025728,47.0
13,11,2020,Europe,Albania,410,8,106,3025728,47.0
12,11,2020,Europe,Albania,507,11,106,3025728,47.0
11,11,2020,Europe,Albania,563,8,106,3025728,47.0
10,11,2020,Europe,Albania,525,12,106,3025728,47.0
9,11,2020,Europe,Albania,501,2,106,3025728,47.0
8,11,2020,Europe,Albania,495,8,106,3025728,47.0
7,11,2020,Europe,Albania,489,6,106,3025728,47.0
6,11,2020,Europe,Albania,421,7,106,3025728,47.0
5,11,2020,Europe,Albania,396,4,106,3025728,47.0
4,11,2020,Europe,Albania,381,5,106,3025728,47.0
3,11,2020,Europe,Albania,321,9,106,3025728,47.0
2,11,2020,Europe,Albania,327,9,106,3025728,47.0
1,11,2020,Europe,Albania,241,7,106,3025728,47.0
31,10,2020,Europe,Albania,319,3,106,3025728,47.0
30,10,2020,Europe,Albania,275,6,106,3025728,47.0
29,10,2020,Europe,Albania,311,6,106,3025728,47.0
28,10,2020,Europe,Albania,284,7,106,3025728,47.0
27,10,2020,Europe,Albania,288,3,106,3025728,47.0
26,10,2020,Europe,Albania,299,4,106,3025728,47.0
25,10,2020,Europe,Albania,302,4,106,3025728,47.0
24,10,2020,Europe,Albania,306,4,106,3025728,47.0
23,10,2020,Europe,Albania,302,3,106,3025728,47.0
22,10,2020,Europe,Albania,297,4,106,3025728,47.0
21,10,2020,Europe,Albania,301,4,106,3025728,47.0
20,10,2020,Europe,Albania,295,3,106,3025728,47.0
19,10,2020,Europe,Albania,281,3,106,3025728,47.0
18,10,2020,Europe,Albania,273,5,106,3025728,47.0
17,10,2020,Europe,Albania,289,4,106,3025728,47.0
16,10,2020,Europe,Albania,257,5,106,3025728,47.0
15,10,2020,Europe,Albania,203,5,106,3025728,47.0
14,10,2020,Europe,Albania,182,5,106,3025728,47.0
13,10,2020,Europe,Albania,171,4,106,3025728,47.0
